Species Name,Scientific Name,Current Population,Population Decline Rate (%),Habitat Loss (%),Climate Threat Level (1-10),Poaching Threat Level (1-10),Conservation Efforts,Protected Area Coverage (%),Extinction Probability (0-100%)
Hainan Gibbon,Nomascus hainanus,3173,15.48,28.03,7,8,High,33.04,61.23
Hooded Grebe,Panthera pardus orientalis,4473,21.64,22.17,5,1,High,40.58,77.82
Hainan Gibbon,Gorilla beringei beringei,4017,6.36,61.62,7,2,Low,29.26,96.8
Axolotl,Rhinoceros sondaicus,4685,21.47,57.09,9,5,Low,13.82,54.12
Mountain Gorilla,Panthera pardus orientalis,4761,13.87,10.35,4,6,Medium,27.65,56.32
Vaquita,Rhinoceros sondaicus,236,28.15,32.78,2,9,High,55.27,85.24
Amur Leopard,Gorilla beringei beringei,601,26.22,61.49,8,6,Low,8.78,28.71
Hainan Gibbon,Pholidota,4129,14.99,74.98,7,8,High,33.7,22.19
Saola,Nomascus hainanus,2085,29.82,34.99,6,7,High,8.17,67.74
Yangtze Giant Softshell Turtle,Phocoena sinus,4958,6.3,61.79,7,1,Low,31.72,33.23
Pangolin,Phocoena sinus,2681,24.72,31.22,3,2,High,11.57,40.2
Vaquita,Nomascus hainanus,1378,15.85,65.23,6,4,Medium,30.47,97.13
Amur Leopard,Pholidota,2032,15.83,65.84,7,1,Medium,67.86,71.6
Javan Rhino,Panthera pardus orientalis,2088,9.25,20.42,7,8,Low,51.01,87.61
Mountain Gorilla,Rhinoceros sondaicus,3960,17.87,63.21,5,4,High,56.17,90.93
Axolotl,Pholidota,3891,7.12,36.69,3,7,Medium,42.79,29.59
Saola,Phocoena sinus,3331,20.41,23.81,2,7,High,74.18,93.29
Hooded Grebe,Panthera pardus orientalis,4155,11.04,50.03,7,8,Medium,45.59,88.46
Saola,Pseudoryx nghetinhensis,2446,23.12,46.18,4,9,Medium,12.82,23.58
Axolotl,Pholidota,1814,20.18,71.91,2,9,High,74.98,97.2
Yangtze Giant Softshell Turtle,Phocoena sinus,3369,23.66,16.76,8,7,Low,14.98,56.21
Hooded Grebe,Rafetus swinhoei,1740,23.74,73.18,2,9,Low,79.94,96.98
Hooded Grebe,Gorilla beringei beringei,3672,9.92,18.49,6,5,Low,37.65,85.08
Amur Leopard,Rhinoceros sondaicus,2983,5.02,26.6,4,4,High,10.51,54.77
Saola,Ambystoma mexicanum,1039,14.14,51.27,9,3,High,69.81,60.41
Vaquita,Panthera pardus orientalis,421,27.98,47.05,5,6,High,11.97,41.73
Axolotl,Rafetus swinhoei,1991,19.45,89.11,4,9,Low,18.08,58.47
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,671,23.19,57.16,8,4,High,36.3,28.49
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,1357,26.99,36.19,3,2,Low,55.71,91.78
Pangolin,Rafetus swinhoei,3480,27.65,82.01,9,3,Medium,14.09,76.34
Mountain Gorilla,Pholidota,1315,18.23,34.98,8,3,Low,51.7,83.61
Amur Leopard,Gorilla beringei beringei,4296,18.52,31.9,8,2,Low,63.53,61.96
Amur Leopard,Gorilla beringei beringei,2843,26.27,49.55,5,9,Low,14.26,29.93
Javan Rhino,Phocoena sinus,4690,25.19,83.05,1,4,High,53.57,62.44
Amur Leopard,Podiceps gallardoi,1863,22.47,66.68,9,3,Low,76.92,46.01
Hooded Grebe,Gorilla beringei beringei,4605,20.11,64.2,2,6,Medium,77.55,20.8
Javan Rhino,Phocoena sinus,4685,20.43,68.09,1,8,Medium,17.12,68.59
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,825,14.07,62.77,6,8,Medium,61.98,87.44
Vaquita,Rafetus swinhoei,3515,26.02,70.78,1,6,Medium,68.5,76.13
Hainan Gibbon,Ambystoma mexicanum,1486,20.44,25.42,7,5,Medium,71.67,37.66
Mountain Gorilla,Rhinoceros sondaicus,3523,10.59,24.18,7,7,Medium,29.28,84.71
Mountain Gorilla,Ambystoma mexicanum,2047,11.0,38.97,1,3,Low,25.26,44.45
Vaquita,Panthera pardus orientalis,1340,26.54,78.08,5,2,High,8.59,37.26
Vaquita,Panthera pardus orientalis,4885,20.64,67.16,3,8,High,34.96,95.93
Hainan Gibbon,Gorilla beringei beringei,3816,14.97,55.32,2,9,Medium,14.3,21.31
Pangolin,Gorilla beringei beringei,1159,9.68,11.56,5,6,Low,63.97,33.24
Saola,Gorilla beringei beringei,16,20.26,28.86,5,4,Medium,15.72,56.89
Mountain Gorilla,Pseudoryx nghetinhensis,1446,9.61,74.28,2,6,Medium,66.42,33.2
Pangolin,Nomascus hainanus,3260,16.75,29.4,6,7,Medium,13.07,33.18
Amur Leopard,Rhinoceros sondaicus,3549,21.94,68.42,7,8,Medium,41.05,70.11
Vaquita,Nomascus hainanus,704,19.14,24.77,1,3,High,33.85,84.7
Javan Rhino,Phocoena sinus,2975,28.05,58.51,3,6,High,50.12,72.27
Pangolin,Phocoena sinus,3309,5.99,60.26,4,6,Low,43.91,28.01
Pangolin,Ambystoma mexicanum,4853,11.99,70.16,2,7,Low,49.9,90.73
Mountain Gorilla,Rhinoceros sondaicus,4251,6.43,45.07,5,4,Medium,5.07,92.9
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,3377,9.87,60.61,4,6,High,14.56,42.2
Javan Rhino,Rhinoceros sondaicus,4962,8.1,48.96,2,2,Medium,43.78,63.7
Saola,Phocoena sinus,4392,23.32,85.79,1,8,High,22.22,58.33
Amur Leopard,Gorilla beringei beringei,35,14.23,51.75,8,3,High,10.72,72.79
Hainan Gibbon,Gorilla beringei beringei,4557,28.13,26.77,2,9,Low,21.33,97.26
Axolotl,Rhinoceros sondaicus,2163,5.58,63.43,4,8,Low,63.49,97.92
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,4345,21.32,53.88,5,6,High,45.63,60.22
Mountain Gorilla,Nomascus hainanus,3499,29.26,74.31,2,2,Low,19.26,27.26
Yangtze Giant Softshell Turtle,Pholidota,341,9.4,24.15,9,8,Medium,6.2,46.42
Javan Rhino,Nomascus hainanus,654,16.06,30.88,2,6,High,31.82,52.67
Hooded Grebe,Podiceps gallardoi,1862,22.55,83.73,6,1,High,31.81,62.24
Saola,Pholidota,4140,20.83,84.4,7,6,High,60.13,95.87
Amur Leopard,Gorilla beringei beringei,2933,19.15,45.38,6,5,Medium,73.96,40.73
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,2441,13.17,13.82,4,6,High,32.9,62.4
Saola,Pholidota,3594,23.2,34.52,1,1,Low,56.61,42.99
Axolotl,Gorilla beringei beringei,3819,21.33,29.77,2,4,Medium,52.62,92.64
Amur Leopard,Pholidota,820,9.07,43.17,6,7,High,36.66,98.21
Axolotl,Gorilla beringei beringei,1321,29.1,35.42,8,5,Medium,9.94,88.79
Pangolin,Podiceps gallardoi,2805,18.89,76.32,3,6,Medium,40.51,46.76
Yangtze Giant Softshell Turtle,Podiceps gallardoi,1904,18.14,10.24,7,2,Low,31.56,41.95
Axolotl,Panthera pardus orientalis,3016,26.21,61.57,9,8,Low,46.26,54.06
Saola,Rhinoceros sondaicus,4310,21.01,63.14,4,4,Low,14.4,79.06
Hooded Grebe,Gorilla beringei beringei,2080,6.86,62.85,7,6,High,59.32,20.74
Hainan Gibbon,Phocoena sinus,2666,17.66,51.65,7,3,High,64.08,98.61
Vaquita,Pholidota,4144,24.51,58.89,9,9,Low,34.13,89.79
Hooded Grebe,Podiceps gallardoi,4278,22.5,74.84,3,8,Low,18.15,21.88
Mountain Gorilla,Phocoena sinus,4865,29.27,72.74,1,6,High,51.77,50.19
Hooded Grebe,Pseudoryx nghetinhensis,3494,5.62,12.77,8,9,Low,76.69,74.34
Axolotl,Ambystoma mexicanum,423,11.53,12.43,4,9,Medium,57.54,39.07
Mountain Gorilla,Nomascus hainanus,701,18.73,77.12,2,2,Medium,14.26,31.28
Hooded Grebe,Podiceps gallardoi,2672,20.49,55.98,5,9,Medium,34.79,69.72
Vaquita,Phocoena sinus,4127,11.86,86.59,4,8,High,73.65,91.38
Saola,Pholidota,2708,25.67,44.53,1,2,Low,52.58,95.49
Hainan Gibbon,Gorilla beringei beringei,4319,9.11,24.14,7,9,Medium,16.04,20.81
Axolotl,Podiceps gallardoi,929,5.02,47.86,4,5,High,59.34,89.08
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,916,28.81,44.92,8,9,Low,31.51,64.3
Amur Leopard,Rhinoceros sondaicus,3220,14.79,51.37,9,3,Low,41.72,38.78
Javan Rhino,Rafetus swinhoei,3738,28.94,74.64,8,4,Medium,36.13,68.74
Yangtze Giant Softshell Turtle,Podiceps gallardoi,2729,11.95,62.45,1,1,Low,59.43,98.67
Pangolin,Pholidota,3676,6.59,24.82,8,5,Low,21.34,41.82
Axolotl,Gorilla beringei beringei,4905,24.31,68.76,5,7,Medium,34.13,41.87
Amur Leopard,Nomascus hainanus,2374,25.9,57.35,1,7,Medium,60.84,75.22
Saola,Pholidota,802,17.3,56.26,9,6,Low,57.86,23.41
Pangolin,Rhinoceros sondaicus,585,6.85,64.26,9,6,High,20.13,84.82
Javan Rhino,Pholidota,1737,21.35,55.12,7,8,High,31.3,71.55
Axolotl,Gorilla beringei beringei,3237,9.55,46.6,7,9,Medium,6.08,86.45
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,3581,26.23,61.23,1,4,Low,44.76,38.23
Hooded Grebe,Panthera pardus orientalis,4196,11.85,67.9,9,4,Medium,26.07,86.93
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,3735,26.19,28.06,1,8,High,5.89,55.44
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,4866,15.67,49.76,7,5,High,36.85,30.49
Javan Rhino,Panthera pardus orientalis,3376,19.91,46.65,9,9,Low,74.52,91.21
Axolotl,Nomascus hainanus,4875,24.74,13.19,9,6,Medium,74.26,75.7
Axolotl,Panthera pardus orientalis,1370,6.01,76.76,5,9,Medium,32.91,33.29
Mountain Gorilla,Podiceps gallardoi,2058,25.53,40.19,6,4,High,38.69,39.47
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,2985,8.47,15.82,2,1,Medium,23.2,41.24
Saola,Rhinoceros sondaicus,3206,13.96,46.63,2,4,Medium,10.12,96.1
Amur Leopard,Ambystoma mexicanum,1097,16.82,22.92,9,9,Medium,57.04,90.01
Amur Leopard,Pholidota,215,27.39,66.35,1,7,Low,65.0,47.36
Pangolin,Rhinoceros sondaicus,3496,5.56,55.74,5,6,High,71.01,56.86
Javan Rhino,Pholidota,3325,18.98,31.61,7,2,Medium,75.15,42.54
Yangtze Giant Softshell Turtle,Rafetus swinhoei,632,21.06,86.04,6,4,Low,73.7,78.67
Saola,Ambystoma mexicanum,1687,12.91,33.34,6,1,Medium,7.05,32.74
Pangolin,Ambystoma mexicanum,3297,12.26,54.4,6,3,Medium,78.36,46.75
Axolotl,Pseudoryx nghetinhensis,3022,17.26,74.13,8,2,High,33.46,67.88
Amur Leopard,Podiceps gallardoi,3022,9.68,51.11,7,4,Low,71.46,89.31
Vaquita,Gorilla beringei beringei,3647,16.7,86.87,5,4,Medium,38.06,70.21
Mountain Gorilla,Pholidota,2710,24.13,77.51,2,9,High,36.66,94.24
Saola,Pholidota,1881,26.13,83.68,6,7,Low,5.84,93.53
Pangolin,Rafetus swinhoei,88,14.63,39.82,5,3,Medium,8.93,76.75
Pangolin,Phocoena sinus,1486,20.43,53.87,4,7,High,55.35,42.02
Saola,Ambystoma mexicanum,4744,5.0,77.21,5,8,Medium,75.32,73.96
Hooded Grebe,Ambystoma mexicanum,3238,18.76,82.28,9,7,Medium,21.83,35.23
Vaquita,Pseudoryx nghetinhensis,2345,29.38,85.55,2,8,Low,12.04,46.32
Axolotl,Pseudoryx nghetinhensis,1735,12.81,80.33,6,9,High,21.04,79.87
Amur Leopard,Gorilla beringei beringei,1124,19.87,68.46,9,1,Low,20.92,87.2
Yangtze Giant Softshell Turtle,Pholidota,170,24.06,11.94,5,6,Medium,26.99,52.92
Saola,Ambystoma mexicanum,1435,20.22,35.2,6,4,High,12.11,61.35
Javan Rhino,Rafetus swinhoei,1743,15.46,20.31,4,1,Medium,22.66,50.5
Vaquita,Ambystoma mexicanum,4425,8.81,22.38,5,2,Medium,74.1,57.86
Mountain Gorilla,Rafetus swinhoei,2421,16.59,33.27,8,4,Medium,71.77,60.49
Mountain Gorilla,Podiceps gallardoi,3970,12.37,15.98,1,1,High,28.72,74.65
Javan Rhino,Podiceps gallardoi,2532,22.4,29.44,1,6,Medium,79.77,79.29
Vaquita,Phocoena sinus,4871,16.05,86.56,4,1,High,27.38,97.03
Pangolin,Pseudoryx nghetinhensis,611,26.25,34.96,3,9,Medium,59.14,54.57
Mountain Gorilla,Gorilla beringei beringei,2369,9.83,22.78,5,3,Low,53.3,26.57
Pangolin,Panthera pardus orientalis,1565,15.44,67.46,8,1,High,9.84,74.37
Hooded Grebe,Panthera pardus orientalis,4694,18.94,76.28,1,6,Medium,30.67,59.36
Vaquita,Pholidota,1530,8.15,35.12,5,6,Low,76.36,86.44
Saola,Ambystoma mexicanum,2400,19.7,32.28,5,7,High,8.82,31.58
Yangtze Giant Softshell Turtle,Pholidota,915,12.27,29.34,2,7,Low,18.12,70.95
Amur Leopard,Rhinoceros sondaicus,1660,10.74,41.46,5,4,Medium,77.82,56.28
Hooded Grebe,Ambystoma mexicanum,1127,8.55,16.98,8,5,Low,7.98,53.12
Pangolin,Panthera pardus orientalis,1534,13.75,63.53,7,3,Medium,38.5,64.62
Vaquita,Panthera pardus orientalis,4277,28.22,75.78,2,6,Medium,73.88,74.05
Hooded Grebe,Phocoena sinus,4731,5.78,63.09,6,7,High,75.78,87.22
Pangolin,Panthera pardus orientalis,3090,26.3,43.7,1,9,Medium,78.45,38.57
Yangtze Giant Softshell Turtle,Pseudoryx nghetinhensis,4787,14.93,33.12,3,9,Medium,41.1,43.15
Yangtze Giant Softshell Turtle,Gorilla beringei beringei,3250,19.04,42.76,6,5,High,11.49,63.34
Javan Rhino,Ambystoma mexicanum,4416,17.82,43.91,9,4,High,62.95,47.38
Axolotl,Pholidota,3811,28.14,63.28,1,7,Medium,58.17,64.9
Mountain Gorilla,Ambystoma mexicanum,1945,24.25,84.24,6,3,Medium,48.47,35.81
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,3637,29.62,15.65,2,4,High,71.62,44.3
Hainan Gibbon,Panthera pardus orientalis,4390,24.86,86.27,9,9,High,73.37,45.66
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,3719,12.4,82.82,2,5,Low,56.24,98.39
Hooded Grebe,Rhinoceros sondaicus,2552,29.07,19.42,3,7,Low,13.41,87.49
Amur Leopard,Rafetus swinhoei,4460,29.59,24.69,2,2,Low,12.16,86.18
Vaquita,Phocoena sinus,209,8.08,34.93,4,9,High,35.65,60.57
Hooded Grebe,Ambystoma mexicanum,2193,27.53,54.77,4,5,High,26.95,56.88
Axolotl,Rhinoceros sondaicus,2685,21.61,20.76,1,5,High,14.97,25.54
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,4046,28.05,26.03,8,4,Low,50.84,35.59
Saola,Pseudoryx nghetinhensis,3503,27.89,82.21,5,8,Medium,56.26,90.73
Vaquita,Panthera pardus orientalis,3982,27.28,18.74,8,4,Medium,57.35,61.53
Hooded Grebe,Rhinoceros sondaicus,1374,27.13,41.91,6,2,Medium,18.15,98.01
Hainan Gibbon,Nomascus hainanus,1862,7.94,71.04,2,5,High,27.94,66.75
Amur Leopard,Pseudoryx nghetinhensis,4447,8.59,81.09,7,3,Medium,19.93,49.82
Mountain Gorilla,Pholidota,3611,7.94,36.88,9,4,Medium,50.1,41.65
Vaquita,Rhinoceros sondaicus,397,7.28,23.16,7,3,High,47.53,92.55
Axolotl,Podiceps gallardoi,4109,13.83,68.96,5,7,High,42.75,49.29
Saola,Pholidota,4782,22.1,71.8,4,6,High,27.2,31.55
Hainan Gibbon,Nomascus hainanus,1672,13.87,88.4,8,2,High,22.78,41.98
Mountain Gorilla,Phocoena sinus,2468,23.01,21.16,6,8,High,71.78,71.0
Pangolin,Gorilla beringei beringei,222,25.51,66.75,5,5,Low,8.66,30.51
Amur Leopard,Panthera pardus orientalis,4665,21.66,43.38,7,6,High,54.23,27.23
Mountain Gorilla,Gorilla beringei beringei,567,16.63,83.17,3,8,Medium,6.47,56.15
Yangtze Giant Softshell Turtle,Panthera pardus orientalis,2615,12.39,42.63,9,7,Medium,19.54,26.61
Javan Rhino,Gorilla beringei beringei,3129,8.11,45.68,4,3,Low,26.71,51.04
Saola,Phocoena sinus,3713,17.34,20.14,4,2,High,71.49,45.5
Hainan Gibbon,Nomascus hainanus,2701,22.99,35.67,8,3,Medium,15.33,50.93
Mountain Gorilla,Nomascus hainanus,2004,18.71,42.07,6,8,Medium,75.34,58.54
Javan Rhino,Podiceps gallardoi,484,23.04,11.4,1,4,High,66.16,34.64
Mountain Gorilla,Pseudoryx nghetinhensis,1777,13.38,45.01,2,8,Low,55.93,54.95
Hooded Grebe,Podiceps gallardoi,51,6.67,36.91,9,4,High,35.88,48.56
Pangolin,Panthera pardus orientalis,2661,24.28,74.31,6,7,High,72.89,82.84
Amur Leopard,Rhinoceros sondaicus,2105,10.49,18.57,7,6,High,44.6,74.88
Pangolin,Nomascus hainanus,4002,20.41,70.82,9,1,High,32.84,88.93
Hooded Grebe,Panthera pardus orientalis,1996,25.11,67.12,3,8,High,48.92,72.85
Mountain Gorilla,Podiceps gallardoi,3875,8.48,29.34,5,6,Low,22.42,29.57
Vaquita,Nomascus hainanus,3667,19.96,16.66,5,2,Medium,25.47,60.06
Javan Rhino,Panthera pardus orientalis,4833,22.23,77.35,7,5,High,73.95,78.66
Saola,Rafetus swinhoei,3527,23.66,29.95,2,2,Medium,64.54,86.49
Axolotl,Phocoena sinus,2278,8.69,21.64,4,7,Medium,43.51,34.32
Javan Rhino,Nomascus hainanus,1654,25.63,38.72,4,6,High,36.24,37.66
Pangolin,Rafetus swinhoei,949,7.35,42.07,8,7,Medium,65.57,88.12
Javan Rhino,Podiceps gallardoi,4448,17.99,36.09,3,6,High,47.8,58.35
Yangtze Giant Softshell Turtle,Pholidota,3319,16.09,88.12,2,1,High,36.13,55.74
Mountain Gorilla,Panthera pardus orientalis,2995,10.54,80.47,9,3,High,43.66,59.04
Hooded Grebe,Rafetus swinhoei,4946,12.55,79.84,4,2,Low,22.45,33.69
Javan Rhino,Phocoena sinus,2037,9.11,41.9,9,1,High,20.15,69.58
Javan Rhino,Gorilla beringei beringei,3137,15.64,87.03,6,1,High,79.18,83.83
Hooded Grebe,Gorilla beringei beringei,4999,5.89,64.72,1,4,Medium,77.72,86.13
Yangtze Giant Softshell Turtle,Ambystoma mexicanum,4143,27.22,76.56,3,1,Low,36.56,22.4
Yangtze Giant Softshell Turtle,Phocoena sinus,1374,9.09,50.07,7,2,Medium,43.64,76.5
Axolotl,Ambystoma mexicanum,860,27.15,22.85,9,1,Medium,67.04,27.21
Axolotl,Ambystoma mexicanum,240,26.59,80.95,8,6,High,59.44,96.38
